Хозяева,Гости,Голы хозяев,Голы гостей,Владение мячом хозяев,Владение мячом гостей,Удары по воротам хозяев,Удары по воротам гостей,Удары в створ хозяев,Удары в створ гостей,Удары мимо хозяев,Удары мимо гостей,Заблокированные удары хозяев,Заблокированные удары гостей,Сэйвы хозяев,Сэйвы гостей,Фолы хозяев,Фолы гостей,Угловые удары хозяев,Угловые удары гостей,Штрафные удары хозяев,Штрафные удары гостей,Вне игры хозяев,Вне игры гостей,Удары от ворот хозяев,Удары от ворот гостей,Автоголы хозяев,Автоголы гостей,Забитые пенальти хозяев,Забитые пенальти гостей,Незабитые пенальти хозяев,Незабитые пенальти гостей,Вбрасывания хозяев,Вбрасывания гостей
Боруссия Д,Вольфсбург, 3 , 0 ,64%,36%,14,10,7,3,7,7,5,2,3,4,12,18,7,2,20,13,1,2,8,8,0,0,1,0,0,0,21,22
РБ Лейпциг,Майнц, 8 , 0 ,69%,31%,16,5,11,2,5,3,1,5,2,3,10,7,3,4,9,10,0,2,6,9,0,0,0,0,0,0,18,21
Байер,Боруссия М, 1 , 2 ,57%,43%,13,5,6,5,7,0,5,2,3,5,13,9,13,0,13,16,3,4,3,15,0,0,0,0,0,0,26,25
Айнтрахт Ф,ФК Бавария, 5 , 1 ,42%,58%,14,7,11,5,3,2,2,1,4,6,13,8,3,0,11,15,2,3,6,5,0,0,0,0,0,0,15,22
Вердер,Фрайбург, 2 , 2 ,47%,53%,14,13,11,3,3,10,7,0,1,9,19,11,5,0,13,19,0,2,10,6,0,0,0,0,0,0,20,24
Хоффенхайм,Падерборн, 3 , 0 ,60%,40%,10,8,7,3,3,5,2,0,3,4,8,12,4,4,13,10,2,1,6,6,0,0,0,0,0,0,25,13
Фортуна,Кёльн, 2 , 0 ,51%,49%,8,6,3,1,5,5,2,2,1,1,10,19,3,4,21,10,0,2,7,12,0,0,1,0,0,0,19,20
Аугсбург,Шальке-04, 2 , 3 ,44%,56%,10,6,5,3,5,3,1,3,1,3,13,10,1,6,13,15,2,3,5,10,1,0,1,0,0,0,25,27
Унион Берлин,Герта, 1 , 0 ,51%,49%,11,6,6,3,5,3,2,0,3,5,15,9,1,4,10,18,3,1,6,6,0,0,1,0,0,0,32,27
ФК Бавария,Боруссия Д, 4 , 0 ,61%,39%,14,2,5,0,9,2,1,0,0,2,10,12,2,1,14,16,6,2,3,13,0,1,0,0,0,0,27,14
Боруссия М,Вердер, 3 , 1 ,48%,52%,18,11,9,6,9,5,4,3,5,6,18,14,3,8,14,22,4,0,6,8,0,0,0,0,0,1,9,21
Вольфсбург,Байер, 0 , 2 ,42%,58%,5,8,1,5,4,3,0,2,3,1,9,12,9,0,13,11,2,1,6,9,0,0,0,0,0,0,38,32
Герта,РБ Лейпциг, 2 , 4 ,42%,58%,6,8,3,6,3,2,2,0,2,1,11,12,0,5,14,13,2,2,9,5,0,0,0,1,0,0,26,36
Майнц,Унион Берлин, 2 , 3 ,45%,55%,12,9,5,5,7,4,2,2,2,3,17,13,3,2,14,22,5,1,9,11,0,0,0,0,0,0,28,18
Фрайбург,Айнтрахт Ф, 1 , 0 ,53%,47%,13,12,7,6,6,6,2,5,6,6,8,13,8,10,14,10,2,1,10,11,0,0,0,0,0,0,22,21
Шальке-04,Фортуна, 3 , 3 ,59%,41%,11,8,5,5,6,3,1,0,2,2,10,16,2,4,16,12,2,0,3,15,0,0,0,1,0,0,24,18
Кёльн,Хоффенхайм, 1 , 2 ,47%,53%,6,11,3,6,3,5,1,2,4,2,18,14,5,7,14,18,0,0,5,9,0,0,0,1,0,0,20,26
Падерборн,Аугсбург, 0 , 1 ,58%,42%,6,10,4,5,2,5,3,2,4,4,16,11,5,7,15,16,0,4,10,8,0,0,0,0,1,0,28,21
Боруссия Д,Падерборн, 3 , 3 ,65%,35%,11,7,5,5,6,2,2,1,2,2,8,8,10,2,13,12,4,5,7,11,0,0,0,0,0,0,29,19
РБ Лейпциг,Кёльн, 4 , 1 ,71%,29%,16,5,8,1,8,4,3,1,0,4,8,15,13,3,21,11,3,6,3,11,0,0,1,0,0,0,21,13
Байер,Фрайбург, 1 , 1 ,58%,42%,18,9,8,3,10,6,7,0,2,6,10,14,13,3,14,13,3,0,10,15,0,0,0,0,0,0,26,16
Айнтрахт Ф,Вольфсбург, 0 , 2 ,56%,44%,14,7,9,6,5,1,3,1,4,9,13,21,12,1,25,15,2,4,4,8,0,0,0,0,0,0,22,25
Вердер,Шальке-04, 1 , 2 ,45%,55%,9,11,4,7,5,4,7,1,5,3,12,15,1,3,21,13,1,6,7,10,0,0,0,0,0,0,29,18
Хоффенхайм,Майнц, 1 , 5 ,59%,41%,15,11,9,6,6,5,5,1,2,8,10,13,14,3,15,11,1,2,7,10,1,0,0,0,0,0,12,20
Фортуна,ФК Бавария, 0 , 4 ,31%,69%,6,13,1,6,5,7,3,3,2,1,9,6,8,6,12,12,3,6,12,6,0,0,0,0,0,0,13,14
Аугсбург,Герта, 4 , 0 ,60%,40%,12,4,5,2,7,2,0,0,2,1,8,14,3,3,16,11,3,2,8,9,0,0,0,0,0,0,25,25
Унион Берлин,Боруссия М, 2 , 0 ,46%,54%,9,7,6,2,3,5,1,4,2,4,12,7,2,6,9,13,1,2,5,4,0,0,0,0,0,0,22,42
ФК Бавария,Байер, 1 , 2 ,65%,35%,22,10,10,7,12,3,2,2,5,9,10,15,8,2,19,14,4,4,7,13,0,0,0,0,0,0,18,15
Боруссия М,Фрайбург, 4 , 2 ,49%,51%,17,7,10,4,7,3,1,3,2,6,15,16,2,3,16,16,1,0,9,10,0,0,0,0,0,0,26,18
Вольфсбург,Вердер, 2 , 3 ,60%,40%,10,7,7,3,3,4,7,2,0,5,14,16,9,3,17,18,4,1,6,11,0,0,0,1,0,0,25,23
Хоффенхайм,Фортуна, 1 , 1 ,47%,53%,10,8,5,3,5,5,0,0,2,4,12,19,2,5,21,14,2,2,11,6,0,0,0,0,0,0,14,19
Герта,Боруссия Д, 1 , 2 ,48%,52%,8,5,4,4,4,1,3,1,2,3,16,12,2,2,12,20,4,0,3,10,0,0,0,0,0,0,22,20
Майнц,Айнтрахт Ф, 2 , 1 ,54%,46%,14,10,8,4,6,6,3,1,3,6,13,9,8,6,12,15,2,3,9,11,0,0,0,0,0,0,24,25
Шальке-04,Унион Берлин, 2 , 1 ,56%,44%,11,11,8,7,3,4,1,2,6,5,11,13,7,4,16,15,4,3,7,4,0,0,0,1,0,0,31,23
Кёльн,Аугсбург, 1 , 1 ,55%,45%,12,7,7,3,5,4,0,1,1,5,13,14,4,8,15,13,0,1,10,8,0,0,0,0,0,1,21,24
Падерборн,РБ Лейпциг, 2 , 3 ,50%,50%,5,11,3,7,2,4,1,6,4,1,11,13,6,6,16,15,4,3,6,6,0,0,0,0,0,0,37,16
Боруссия Д,Фортуна, 5 , 0 ,69%,31%,20,2,11,0,9,2,4,0,0,6,8,9,6,0,11,10,2,2,3,14,0,0,0,0,0,0,16,13
РБ Лейпциг,Хоффенхайм, 3 , 1 ,54%,46%,21,7,12,1,9,6,3,1,0,9,16,4,8,6,6,20,4,2,6,12,0,0,1,0,0,0,16,25
Байер,Шальке-04, 2 , 1 ,58%,42%,15,4,8,3,7,1,2,1,2,6,13,15,9,0,18,16,3,3,7,8,0,0,0,0,0,0,27,27
Боруссия М,ФК Бавария, 2 , 1 ,45%,55%,5,10,3,4,2,6,0,2,3,1,7,11,2,5,12,12,5,1,10,6,0,0,1,0,0,0,21,21
Айнтрахт Ф,Герта, 2 , 2 ,58%,42%,19,5,7,3,12,2,5,2,1,5,11,16,16,1,17,12,1,1,5,18,0,0,0,0,0,0,25,20
Вердер,Падерборн, 0 , 1 ,51%,49%,10,12,3,6,7,6,1,4,5,3,10,15,13,6,18,12,2,3,12,13,0,0,0,0,0,0,28,17
Фрайбург,Вольфсбург, 1 , 0 ,52%,48%,7,4,4,0,3,4,3,2,0,3,14,22,2,7,23,15,0,1,9,7,0,0,0,0,0,0,26,26
