Хозяева,Гости,Голы хозяев,Голы гостей,Владение мячом хозяев,Владение мячом гостей,Удары по воротам хозяев,Удары по воротам гостей,Удары в створ хозяев,Удары в створ гостей,Удары мимо хозяев,Удары мимо гостей,Заблокированные удары хозяев,Заблокированные удары гостей,Сэйвы хозяев,Сэйвы гостей,Фолы хозяев,Фолы гостей,Угловые удары хозяев,Угловые удары гостей,Штрафные удары хозяев,Штрафные удары гостей,Вне игры хозяев,Вне игры гостей,Удары от ворот хозяев,Удары от ворот гостей,Автоголы хозяев,Автоголы гостей,Забитые пенальти хозяев,Забитые пенальти гостей,Незабитые пенальти хозяев,Незабитые пенальти гостей,Вбрасывания хозяев,Вбрасывания гостей
Вердер,Унион Берлин, 0 , 2 ,65%,35%,11,5,3,4,8,1,2,2,2,3,11,19,5,5,21,12,1,2,5,10,0,0,0,0,0,0,32,18
Герта,Майнц, 1 , 3 ,59%,41%,8,11,2,4,6,7,2,0,1,2,12,16,10,1,17,12,0,1,12,7,0,1,0,1,0,0,23,15
Фрайбург,Хоффенхайм, 1 , 0 ,51%,49%,9,17,6,6,3,11,3,3,6,5,10,13,5,10,13,12,2,0,14,9,0,0,1,0,0,0,20,22
Шальке-04,Падерборн, 1 , 1 ,58%,42%,6,7,3,3,3,4,3,4,2,2,6,7,11,10,9,8,2,2,7,8,0,0,0,0,0,0,29,31
Боруссия Д,Айнтрахт Ф, 4 , 0 ,65%,35%,12,1,8,0,4,1,5,0,0,4,8,4,5,0,6,9,1,2,3,5,0,0,0,0,0,0,25,16
РБ Лейпциг,Вердер, 3 , 0 ,54%,46%,8,7,4,2,4,5,1,1,2,1,10,12,8,1,14,14,4,2,7,11,0,0,0,0,0,0,17,19
Хоффенхайм,Вольфсбург, 2 , 3 ,52%,48%,11,10,6,5,5,5,1,2,2,3,7,12,4,4,13,7,0,1,8,6,0,0,1,2,0,0,26,22
Фортуна,Боруссия М, 1 , 4 ,51%,49%,8,12,4,7,4,5,2,5,3,3,11,11,2,5,12,13,2,1,7,7,0,0,0,0,0,0,11,22
Майнц,Шальке-04, 0 , 0 ,39%,61%,12,6,5,3,7,3,2,1,3,5,9,12,3,6,13,12,3,1,8,12,0,0,0,0,0,0,30,23
Аугсбург,Фрайбург, 1 , 1 ,28%,72%,6,13,3,6,3,7,3,4,5,2,22,5,0,3,7,23,1,2,10,5,0,0,0,0,0,0,17,30
Кёльн,ФК Бавария, 1 , 4 ,38%,62%,11,24,6,9,5,15,1,1,5,5,12,10,1,6,11,16,4,1,17,10,0,0,0,0,0,0,17,28
Падерборн,Герта, 1 , 2 ,52%,48%,7,5,4,2,3,3,7,2,1,3,16,12,5,8,12,21,5,0,4,6,1,0,0,0,0,0,36,20
Унион Берлин,Байер, 2 , 3 ,35%,65%,16,7,7,5,9,2,2,1,2,5,9,15,6,4,17,10,1,2,6,10,0,0,0,0,0,0,24,21
ФК Бавария,Падерборн, 3 , 2 ,57%,43%,12,4,9,3,3,1,3,0,1,6,5,9,11,1,15,6,1,6,5,16,0,0,0,0,0,0,26,21
Байер,Аугсбург, 2 , 0 ,70%,30%,9,7,6,3,3,4,2,0,3,4,10,13,2,3,16,12,2,3,7,5,0,0,0,0,0,0,26,20
Боруссия М,Хоффенхайм, 1 , 1 ,52%,48%,13,15,9,6,4,9,0,5,5,8,11,11,8,8,12,12,1,1,9,6,0,0,0,0,1,0,17,20
Вольфсбург,Майнц, 4 , 0 ,54%,46%,16,7,7,4,9,3,3,7,4,3,11,12,4,14,13,12,1,1,4,12,0,0,0,0,0,0,29,29
Айнтрахт Ф,Унион Берлин, 1 , 2 ,55%,45%,8,8,2,6,6,2,3,1,5,2,10,13,14,6,18,13,3,5,4,12,1,1,0,0,0,0,24,29
Вердер,Боруссия Д, 0 , 2 ,39%,61%,5,8,2,7,3,1,3,4,5,2,11,9,2,6,12,13,2,3,2,7,0,0,0,0,0,0,12,20
Герта,Кёльн, 0 , 5 ,42%,58%,6,13,2,10,4,3,1,2,6,2,11,8,5,3,9,12,1,1,6,8,1,0,0,0,0,0,30,20
Фрайбург,Фортуна, 0 , 2 ,58%,42%,10,8,5,4,5,4,3,0,2,4,14,11,7,4,12,16,2,1,8,10,0,0,0,0,0,0,24,29
Шальке-04,РБ Лейпциг, 0 , 5 ,52%,48%,4,14,3,8,1,6,2,7,3,3,10,7,2,5,7,14,4,0,11,13,0,0,0,0,0,0,17,17
Боруссия Д,Фрайбург, 1 , 0 ,57%,43%,10,6,2,3,8,3,3,3,3,1,5,9,6,4,10,5,0,1,5,11,0,0,0,0,0,0,17,16
РБ Лейпциг,Байер, 1 , 1 ,42%,58%,8,9,2,6,6,3,1,5,5,1,3,14,8,5,16,7,4,2,5,9,0,0,0,0,0,0,16,16
Хоффенхайм,ФК Бавария, 0 , 6 ,47%,53%,2,21,1,12,1,9,1,4,6,1,2,5,1,7,10,3,1,5,16,3,0,0,0,0,0,0,10,15
Фортуна,Герта, 3 , 3 ,50%,50%,9,9,5,6,4,3,3,3,4,2,10,11,3,5,14,16,6,3,7,5,1,0,0,1,0,0,17,19
Майнц,Падерборн, 2 , 0 ,47%,53%,4,9,3,5,1,4,1,0,5,1,8,16,5,8,16,9,1,0,12,8,0,0,0,0,0,0,35,31
Аугсбург,Боруссия М, 2 , 3 ,53%,47%,8,13,4,7,4,6,1,2,4,2,11,5,5,3,5,13,2,0,9,8,0,0,0,0,0,0,28,14
Кёльн,Шальке-04, 3 , 0 ,43%,57%,10,5,6,1,4,4,3,0,1,4,9,9,4,2,9,17,8,0,6,6,0,1,0,0,0,0,30,39
Унион Берлин,Вольфсбург, 2 , 2 ,44%,56%,2,9,2,3,0,6,0,2,1,0,11,14,1,6,15,13,2,1,14,3,0,0,0,0,0,0,32,42
ФК Бавария,Аугсбург, 2 , 0 ,70%,30%,12,5,5,3,7,2,2,0,3,3,4,7,9,4,11,4,0,4,4,23,0,0,0,0,0,0,23,18
Байер,Айнтрахт Ф, 4 , 0 ,53%,47%,8,8,5,4,3,4,4,1,4,1,11,11,1,3,14,12,1,3,8,3,0,0,0,0,0,0,18,15
Боруссия М,Боруссия Д, 1 , 2 ,44%,56%,6,6,3,4,3,2,3,3,2,2,10,11,3,3,11,16,6,0,4,4,0,0,0,0,0,0,27,20
Вольфсбург,РБ Лейпциг, 0 , 0 ,30%,70%,11,7,4,3,7,4,3,2,3,4,14,15,4,4,16,16,2,1,10,10,0,0,0,0,0,0,21,20
Герта,Вердер, 2 , 2 ,53%,47%,12,5,6,3,6,2,1,0,1,4,19,7,3,1,11,20,1,4,7,9,0,0,0,0,0,0,32,26
Майнц,Фортуна, 1 , 1 ,39%,61%,1,15,1,5,0,10,1,4,4,0,19,11,1,8,12,21,2,1,16,2,0,0,0,0,0,0,22,22
Фрайбург,Унион Берлин, 3 , 1 ,46%,54%,7,11,3,4,4,7,3,3,3,0,6,20,7,2,20,10,4,0,11,6,0,0,0,0,0,0,26,27
Шальке-04,Хоффенхайм, 1 , 1 ,46%,54%,8,3,5,1,3,2,6,1,0,4,8,13,4,5,15,9,1,2,7,7,0,0,0,0,0,0,19,26
Падерборн,Кёльн, 1 , 2 ,51%,49%,9,9,2,3,7,6,5,0,1,1,11,16,5,9,16,12,1,0,9,14,0,0,0,0,0,0,40,27
Боруссия Д,Шальке-04, 4 , 0 ,55%,45%,7,7,4,4,3,3,4,3,4,0,9,8,4,2,12,9,0,4,7,5,0,0,0,0,0,0,15,17
РБ Лейпциг,Фрайбург, 1 , 1 ,60%,40%,15,3,7,1,8,2,2,0,0,6,11,8,8,4,12,11,0,4,5,18,0,0,0,0,0,0,18,19
Айнтрахт Ф,Боруссия М, 1 , 3 ,51%,49%,7,15,4,7,3,8,7,1,4,3,16,10,5,1,13,17,1,3,7,6,0,0,0,1,0,0,11,22
Вердер,Байер, 1 , 4 ,39%,61%,6,11,1,9,5,2,2,2,5,0,15,14,2,9,14,15,0,0,6,5,0,0,0,0,0,0,17,22
Хоффенхайм,Герта, 0 , 3 ,49%,51%,10,10,3,6,7,4,6,2,4,3,9,17,7,5,18,9,0,1,6,9,1,0,0,0,0,0,24,19
Фортуна,Падерборн, 0 , 0 ,54%,46%,9,3,1,1,8,2,3,2,1,1,14,17,2,0,17,18,4,0,5,9,0,0,0,0,0,0,20,21
Аугсбург,Вольфсбург, 1 , 2 ,40%,60%,3,10,2,4,1,6,2,0,1,2,8,11,3,1,13,13,5,2,12,4,0,1,0,0,0,0,25,31
Кёльн,Майнц, 2 , 2 ,48%,52%,9,4,5,3,4,1,2,2,1,3,19,13,5,7,15,20,1,2,8,11,0,0,1,0,0,0,15,23
Унион Берлин,ФК Бавария, 0 , 2 ,38%,62%,5,6,1,4,4,2,1,5,2,1,11,11,4,9,14,17,6,3,7,7,0,0,0,1,0,0,19,27
